Path,Type,Arguments,Return_Annotation,Summary (Docstring)
neuralforecast.models.stemgnn.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.stemgnn.GLU,type,"input_channel, output_channel",,GLU
neuralforecast.models.stemgnn.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.stemgnn.StemGNN,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, n_stacks, multi_layer, dropout_rate, leaky_rate, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,StemGNN
neuralforecast.models.stemgnn.StockBlockLayer,type,"time_step, unit, multi_layer, stack_cnt",,StockBlockLayer
neuralforecast.models.tcn.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.tcn.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.tcn.MLP,type,"in_features, out_features, activation, hidden_size, num_layers, dropout",,Multi-Layer Perceptron Class
neuralforecast.models.tcn.TCN,type,"h, input_size, inference_input_size, kernel_size, dilations, encoder_hidden_size, encoder_activation, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TCN
neuralforecast.models.tcn.TemporalConvolutionEncoder,type,"in_channels, out_channels, kernel_size, dilations, activation",,Temporal Convolution Encoder
neuralforecast.models.tft.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.tft.GLU,type,"hidden_size, output_size",,Base class for all neural network modules.
neuralforecast.models.tft.GRN,type,"input_size, hidden_size, output_size, context_hidden_size, dropout, activation",,Base class for all neural network modules.
neuralforecast.models.tft.InterpretableMultiHeadAttention,type,"n_head, hidden_size, example_length, attn_dropout, dropout",,Base class for all neural network modules.
neuralforecast.models.tft.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.tft.MaybeLayerNorm,type,"output_size, hidden_size, eps",,Base class for all neural network modules.
neuralforecast.models.tft.StaticCovariateEncoder,type,"hidden_size, num_static_vars, dropout, grn_activation, rnn_type, n_rnn_layers, one_rnn_initial_state",,Base class for all neural network modules.
neuralforecast.models.tft.TFT,type,"h, input_size, tgt_size, stat_exog_list, hist_exog_list, futr_exog_list, hidden_size, n_head, attn_dropout, grn_activation, n_rnn_layers, rnn_type, one_rnn_initial_state, dropout, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TFT
neuralforecast.models.tft.TFTEmbedding,type,"hidden_size, stat_input_size, futr_input_size, hist_input_size, tgt_size",,Base class for all neural network modules.
neuralforecast.models.tft.TemporalCovariateEncoder,type,"hidden_size, num_historic_vars, num_future_vars, dropout, grn_activation, rnn_type, n_rnn_layers",,Base class for all neural network modules.
neuralforecast.models.tft.TemporalFusionDecoder,type,"n_head, hidden_size, example_length, encoder_length, attn_dropout, dropout, grn_activation",,Base class for all neural network modules.
neuralforecast.models.tft.VariableSelectionNetwork,type,"hidden_size, num_inputs, dropout, grn_activation",,Base class for all neural network modules.
neuralforecast.models.tft.get_activation_fn,function,activation_str,typing.Callable,
neuralforecast.models.tide.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.tide.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.tide.MLPResidual,type,"input_dim, hidden_size, output_dim, dropout, layernorm",,MLPResidual
neuralforecast.models.tide.TiDE,type,"h, input_size, hidden_size, decoder_output_dim, temporal_decoder_dim, dropout, layernorm, num_encoder_layers, num_decoder_layers, temporal_width, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TiDE
neuralforecast.models.timellm.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.timellm.FlattenHead,type,"n_vars, nf, target_window, head_dropout",,FlattenHead
neuralforecast.models.timellm.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.timellm.PatchEmbedding,type,"d_model, patch_len, stride, dropout",,PatchEmbedding
neuralforecast.models.timellm.ReplicationPad1d,type,padding,,ReplicationPad1d
neuralforecast.models.timellm.ReprogrammingLayer,type,"d_model, n_heads, d_keys, d_llm, attention_dropout",,ReprogrammingLayer
neuralforecast.models.timellm.RevIN,type,"num_features, eps, affine, subtract_last, non_norm",,RevIN (Reversible-Instance-Normalization)
neuralforecast.models.timellm.TimeLLM,type,"h, input_size, patch_len, stride, d_ff, top_k, d_llm, d_model, n_heads, enc_in, dec_in, llm, llm_config, llm_tokenizer, llm_num_hidden_layers, llm_output_attention, llm_output_hidden_states, prompt_prefix, dropout, stat_exog_list, hist_exog_list, futr_exog_list, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TimeLLM
neuralforecast.models.timellm.TokenEmbedding,type,"c_in, d_model",,TokenEmbedding
neuralforecast.models.timemixer.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.timemixer.DFT_series_decomp,type,top_k,,Series decomposition block
neuralforecast.models.timemixer.DataEmbedding_wo_pos,type,"c_in, d_model, dropout, embed_type, freq",,DataEmbedding_wo_pos
neuralforecast.models.timemixer.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.timemixer.MultiScaleSeasonMixing,type,"seq_len, down_sampling_window, down_sampling_layers",,Bottom-up mixing season pattern
neuralforecast.models.timemixer.MultiScaleTrendMixing,type,"seq_len, down_sampling_window, down_sampling_layers",,Top-down mixing trend pattern
neuralforecast.models.timemixer.PastDecomposableMixing,type,"seq_len, pred_len, down_sampling_window, down_sampling_layers, d_model, dropout, channel_independence, decomp_method, d_ff, moving_avg, top_k",,PastDecomposableMixing
neuralforecast.models.timemixer.PositionalEmbedding,type,"hidden_size, max_len",,Base class for all neural network modules.
neuralforecast.models.timemixer.RevIN,type,"num_features, eps, affine, subtract_last, non_norm",,RevIN (Reversible-Instance-Normalization)
neuralforecast.models.timemixer.SeriesDecomp,type,kernel_size,,Series decomposition block
neuralforecast.models.timemixer.TemporalEmbedding,type,"d_model, embed_type, freq",,Base class for all neural network modules.
neuralforecast.models.timemixer.TimeMixer,type,"h, input_size, n_series, stat_exog_list, hist_exog_list, futr_exog_list, d_model, d_ff, dropout, e_layers, top_k, decomp_method, moving_avg, channel_independence, down_sampling_layers, down_sampling_window, down_sampling_method, use_norm, decoder_input_size_multiplier, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TimeMixer
neuralforecast.models.timemixer.TokenEmbedding,type,"c_in, hidden_size",,Base class for all neural network modules.
neuralforecast.models.timesnet.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.timesnet.DataEmbedding,type,"c_in, exog_input_size, hidden_size, pos_embedding, dropout",,Base class for all neural network modules.
neuralforecast.models.timesnet.FFT_for_Period,function,"x, k",,
neuralforecast.models.timesnet.Inception_Block_V1,type,"in_channels, out_channels, num_kernels, init_weight",,Inception_Block_V1
neuralforecast.models.timesnet.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.timesnet.TimesBlock,type,"input_size, h, k, hidden_size, conv_hidden_size, num_kernels",,TimesBlock
neuralforecast.models.timesnet.TimesNet,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, hidden_size, dropout, conv_hidden_size, top_k, num_kernels, encoder_layers, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TimesNet
neuralforecast.models.timexer.AttentionLayer,type,"attention, hidden_size, n_heads, d_keys, d_values",,Base class for all neural network modules.
neuralforecast.models.timexer.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.timexer.DataEmbedding_inverted,type,"c_in, hidden_size, dropout",,DataEmbedding_inverted
neuralforecast.models.timexer.EnEmbedding,type,"n_vars, d_model, patch_len, dropout",,Base class for all neural network modules.
neuralforecast.models.timexer.Encoder,type,"layers, norm_layer, projection",,Base class for all neural network modules.
neuralforecast.models.timexer.EncoderLayer,type,"self_attention, cross_attention, d_model, d_ff, dropout, activation",,Base class for all neural network modules.
neuralforecast.models.timexer.FlattenHead,type,"n_vars, nf, target_window, head_dropout",,Base class for all neural network modules.
neuralforecast.models.timexer.FullAttention,type,"mask_flag, factor, scale, attention_dropout, output_attention",,Base class for all neural network modules.
neuralforecast.models.timexer.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.timexer.PositionalEmbedding,type,"hidden_size, max_len",,Base class for all neural network modules.
neuralforecast.models.timexer.TimeXer,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, patch_len, hidden_size, n_heads, e_layers, d_ff, factor, dropout, use_norm, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TimeXer
neuralforecast.models.tsmixer.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.tsmixer.FeatureMixing,type,"n_series, input_size, dropout, ff_dim",,FeatureMixing
neuralforecast.models.tsmixer.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.tsmixer.MixingLayer,type,"n_series, input_size, dropout, ff_dim",,MixingLayer
neuralforecast.models.tsmixer.RevINMultivariate,type,"num_features, eps, affine, subtract_last, non_norm",,ReversibleInstanceNorm1d for Multivariate models
neuralforecast.models.tsmixer.TSMixer,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, n_block, ff_dim, dropout, revin, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TSMixer
neuralforecast.models.tsmixer.TemporalMixing,type,"n_series, input_size, dropout",,TemporalMixing
neuralforecast.models.tsmixerx.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.tsmixerx.FeatureMixing,type,"in_features, out_features, h, dropout, ff_dim",,FeatureMixing
neuralforecast.models.tsmixerx.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.tsmixerx.MixingLayer,type,"in_features, out_features, h, dropout, ff_dim",,MixingLayer
neuralforecast.models.tsmixerx.MixingLayerWithStaticExogenous,type,"h, dropout, ff_dim, stat_input_size",,MixingLayerWithStaticExogenous
neuralforecast.models.tsmixerx.RevINMultivariate,type,"num_features, eps, affine, subtract_last, non_norm",,ReversibleInstanceNorm1d for Multivariate models
neuralforecast.models.tsmixerx.ReversibleInstanceNorm1d,type,"n_series, eps",,Base class for all neural network modules.
neuralforecast.models.tsmixerx.TSMixerx,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, n_block, ff_dim, dropout, revin, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TSMixerx
neuralforecast.models.tsmixerx.TemporalMixing,type,"num_features, h, dropout",,TemporalMixing
neuralforecast.models.vanillatransformer.AttentionLayer,type,"attention, hidden_size, n_heads, d_keys, d_values",,Base class for all neural network modules.
neuralforecast.models.vanillatransformer.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.vanillatransformer.DataEmbedding,type,"c_in, exog_input_size, hidden_size, pos_embedding, dropout",,Base class for all neural network modules.
neuralforecast.models.vanillatransformer.FullAttention,type,"mask_flag, factor, scale, attention_dropout, output_attention",,Base class for all neural network modules.
neuralforecast.models.vanillatransformer.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.vanillatransformer.TransDecoder,type,"layers, norm_layer, projection",,Base class for all neural network modules.
neuralforecast.models.vanillatransformer.TransDecoderLayer,type,"self_attention, cross_attention, hidden_size, conv_hidden_size, dropout, activation",,Base class for all neural network modules.
neuralforecast.models.vanillatransformer.TransEncoder,type,"attn_layers, conv_layers, norm_layer",,Base class for all neural network modules.
neuralforecast.models.vanillatransformer.TransEncoderLayer,type,"attention, hidden_size, conv_hidden_size, dropout, activation",,Base class for all neural network modules.
neuralforecast.models.vanillatransformer.VanillaTransformer,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, decoder_input_size_multiplier, hidden_size, dropout, n_head, conv_hidden_size, activation, encoder_layers, decoder_layers, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,VanillaTransformer
neuralforecast.models.xLSTM,type,"h, input_size, inference_input_size, h_train, encoder_n_blocks, encoder_hidden_size, encoder_bias, encoder_dropout, decoder_hidden_size, decoder_layers, decoder_dropout, decoder_activation, backbone, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, recurrent, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,xLSTM
neuralforecast.models.xlstm.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.xlstm.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.xlstm.MLP,type,"in_features, out_features, activation, hidden_size, num_layers, dropout",,Multi-Layer Perceptron Class
neuralforecast.models.xlstm.xLSTM,type,"h, input_size, inference_input_size, h_train, encoder_n_blocks, encoder_hidden_size, encoder_bias, encoder_dropout, decoder_hidden_size, decoder_layers, decoder_dropout, decoder_activation, backbone, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, recurrent, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,xLSTM
neuralforecast.tsdataset.BaseTimeSeriesDataset,type,"temporal_cols, max_size, min_size, y_idx, static, static_cols",,Base class for time series datasets.
neuralforecast.tsdataset.LocalFilesTimeSeriesDataset,type,"files_ds, temporal_cols, id_col, time_col, target_col, last_times, indices, max_size, min_size, y_idx, static, static_cols",,Time series dataset that loads data from local files.
neuralforecast.tsdataset.TimeSeriesDataModule,type,"dataset, batch_size, valid_batch_size, drop_last, shuffle_train, dataloaders_kwargs",,PyTorch Lightning data module for time series datasets.
neuralforecast.tsdataset.TimeSeriesDataset,type,"temporal, temporal_cols, indptr, y_idx, static, static_cols",,Time series dataset implementation.
neuralforecast.tsdataset.TimeSeriesLoader,type,"dataset, kwargs",,TimeSeriesLoader DataLoader.
neuralforecast.utils.DayOfMonth,type,,,"Day of month encoded as value between [-0.5, 0.5]."
neuralforecast.utils.DayOfWeek,type,,,"Day of week encoded as value between [-0.5, 0.5]."
neuralforecast.utils.DayOfYear,type,,,"Day of year encoded as value between [-0.5, 0.5]."
neuralforecast.utils.HourOfDay,type,,,"Hour of day encoded as value between [-0.5, 0.5]."
neuralforecast.utils.MinuteOfHour,type,,,"Minute of hour encoded as value between [-0.5, 0.5]."
neuralforecast.utils.MonthOfYear,type,,,"Month of year encoded as value between [-0.5, 0.5]."
neuralforecast.utils.PredictionIntervals,type,"n_windows, method",,Class for storing prediction intervals metadata information.
neuralforecast.utils.SecondOfMinute,type,,,"Second of minute encoded as value between [-0.5, 0.5]."
neuralforecast.utils.TimeFeature,type,,,
neuralforecast.utils.WeekOfYear,type,,,"Week of year encoded as value between [-0.5, 0.5]."
neuralforecast.utils.add_conformal_distribution_intervals,function,"model_fcsts, cs_df, model, cs_n_windows, n_series, horizon, level, quantiles","typing.Tuple[<built-in function array>, typing.List[str]]",Add conformal intervals based on conformal scores using distribution strategy.
neuralforecast.utils.add_conformal_error_intervals,function,"model_fcsts, cs_df, model, cs_n_windows, n_series, horizon, level, quantiles","typing.Tuple[<built-in function array>, typing.List[str]]",Add conformal intervals based on conformal scores using error strategy.
neuralforecast.utils.augment_calendar_df,function,"df, freq",,Augment a dataframe with calendar features based on frequency.
neuralforecast.utils.generate_series,function,"n_series, freq, min_length, max_length, n_temporal_features, n_static_features, equal_ends, seed",<class 'pandas.core.frame.DataFrame'>,Generate Synthetic Panel Series.
neuralforecast.utils.get_indexer_raise_missing,function,"idx, vals",typing.List[int],"Get index positions for values, raising error if any are missing."
neuralforecast.utils.get_prediction_interval_method,function,method,,Get the prediction interval method function by name.
neuralforecast.utils.level_to_quantiles,function,level,typing.List[float],Convert a list of confidence levels to quantiles.
neuralforecast.utils.quantiles_to_level,function,quantiles,"typing.List[typing.Union[int, float]]",Convert a list of quantiles to confidence levels.
neuralforecast.utils.time_features_from_frequency_str,function,freq_str,typing.List[neuralforecast.utils.TimeFeature],Returns a list of time features that will be appropriate for the given frequency string.
